"統計年月","縣市","行政區域","教育程度總計","大學以上","大學","大學以下","大學以上比例","大學比例","大學以下比例"
10403,"高雄市","橋頭區甲北里",2075,74,422,1579,0.0357,0.2034,0.761
10403,"高雄市","橋頭區甲南里",2499,110,526,1863,0.044,0.2105,0.7455
10403,"高雄市","橋頭區頂鹽里",1377,58,294,1025,0.0421,0.2135,0.7444
10403,"高雄市","橋頭區中崎里",719,20,138,561,0.0278,0.1919,0.7803
10403,"高雄市","橋頭區仕和里",3841,210,1003,2628,0.0547,0.2611,0.6842
10403,"高雄市","橋頭區德松里",1367,68,342,957,0.0497,0.2502,0.7001
10403,"高雄市","橋頭區三德里",800,24,163,613,0.03,0.2037,0.7662
10403,"高雄市","燕巢區尖山里",1170,30,174,966,0.0256,0.1487,0.8256
10403,"高雄市","燕巢區瓊林里",2156,67,458,1631,0.0311,0.2124,0.7565
10403,"高雄市","燕巢區安招里",3565,129,649,2787,0.0362,0.182,0.7818
10403,"高雄市","燕巢區角宿里",2734,84,593,2057,0.0307,0.2169,0.7524
10403,"高雄市","燕巢區鳳雄里",2522,99,490,1933,0.0393,0.1943,0.7665
10403,"高雄市","燕巢區金山里",491,9,62,420,0.0183,0.1263,0.8554
10403,"高雄市","燕巢區東燕里",2451,56,430,1965,0.0228,0.1754,0.8017
10403,"高雄市","燕巢區南燕里",3773,124,736,2913,0.0329,0.1951,0.7721
10403,"高雄市","燕巢區西燕里",3474,123,710,2641,0.0354,0.2044,0.7602
10403,"高雄市","燕巢區橫山里",1948,63,327,1558,0.0323,0.1679,0.7998
10403,"高雄市","燕巢區深水里",2632,46,378,2208,0.0175,0.1436,0.8389
10403,"高雄市","田寮區鹿埔里",371,2,31,338,0.0054,0.0836,0.9111
10403,"高雄市","田寮區南安里",1156,22,93,1041,0.019,0.0804,0.9005
10403,"高雄市","田寮區大同里",391,2,35,354,0.0051,0.0895,0.9054
10403,"高雄市","田寮區田寮里",373,5,32,336,0.0134,0.0858,0.9008
10403,"高雄市","田寮區七星里",643,7,42,594,0.0109,0.0653,0.9238
10403,"高雄市","田寮區崇德里",993,23,136,834,0.0232,0.137,0.8399
10403,"高雄市","田寮區西德里",855,14,93,748,0.0164,0.1088,0.8749
10403,"高雄市","田寮區三和里",407,5,36,366,0.0123,0.0885,0.8993
10403,"高雄市","田寮區古亭里",556,5,31,520,0.009,0.0558,0.9353
10403,"高雄市","田寮區新興里",1293,39,169,1085,0.0302,0.1307,0.8391
10403,"高雄市","阿蓮區石安里",1368,38,236,1094,0.0278,0.1725,0.7997
10403,"高雄市","阿蓮區中路里",2101,83,339,1679,0.0395,0.1614,0.7991
10403,"高雄市","阿蓮區峯山里",1297,28,207,1062,0.0216,0.1596,0.8188
10403,"高雄市","阿蓮區港後里",2226,87,469,1670,0.0391,0.2107,0.7502
10403,"高雄市","阿蓮區崗山里",813,34,144,635,0.0418,0.1771,0.7811
10403,"高雄市","阿蓮區阿蓮里",5125,242,1090,3793,0.0472,0.2127,0.7401
10403,"高雄市","阿蓮區清蓮里",2828,118,620,2090,0.0417,0.2192,0.739
10403,"高雄市","阿蓮區和蓮里",2459,83,506,1870,0.0338,0.2058,0.7605
10403,"高雄市","阿蓮區青旗里",1588,54,294,1240,0.034,0.1851,0.7809
10403,"高雄市","阿蓮區復安里",1753,38,279,1436,0.0217,0.1592,0.8192
10403,"高雄市","阿蓮區玉庫里",1105,21,201,883,0.019,0.1819,0.7991
10403,"高雄市","阿蓮區南蓮里",3122,161,697,2264,0.0516,0.2233,0.7252
10403,"高雄市","路竹區竹滬里",3312,136,700,2476,0.0411,0.2114,0.7476
10403,"高雄市","路竹區頂寮里",1248,40,229,979,0.0321,0.1835,0.7845
10403,"高雄市","路竹區新達里",1301,39,252,1010,0.03,0.1937,0.7763
10403,"高雄市","路竹區後鄉里",1135,48,245,842,0.0423,0.2159,0.7419
10403,"高雄市","路竹區北嶺里",1344,54,255,1035,0.0402,0.1897,0.7701
10403,"高雄市","路竹區社西里",2376,103,553,1720,0.0434,0.2327,0.7239
10403,"高雄市","路竹區甲北里",2180,109,474,1597,0.05,0.2174,0.7326
10403,"高雄市","路竹區甲南里",3385,141,711,2533,0.0417,0.21,0.7483
10403,"高雄市","路竹區下坑里",2786,77,539,2170,0.0276,0.1935,0.7789
10403,"高雄市","路竹區竹園里",1899,59,386,1454,0.0311,0.2033,0.7657
