"有偶人數","有偶比例","行政區域","統計年月","縣市"
307,53.11,"三民區川東里",10407,"高雄市"
1425,71.9,"三民區本上里",10407,"高雄市"
1528,66.55,"三民區本元里",10407,"高雄市"
576,61.15,"三民區本文里",10407,"高雄市"
1394,72.12,"三民區本安里",10407,"高雄市"
2051,65.11,"三民區本和里",10407,"高雄市"
513,67.23,"三民區本武里",10407,"高雄市"
2218,67.93,"三民區本揚里",10407,"高雄市"
2347,60.57,"三民區本館里",10407,"高雄市"
1089,57.62,"三民區正順里",10407,"高雄市"
3270,60.19,"三民區正興里",10407,"高雄市"
570,62.57,"三民區民享里",10407,"高雄市"
256,55.41,"三民區立業里",10407,"高雄市"
205,59.42,"三民區立誠里",10407,"高雄市"
300,54.15,"三民區立德里",10407,"高雄市"
738,57.66,"三民區同德里",10407,"高雄市"
391,58.89,"三民區安生里",10407,"高雄市"
1275,54.96,"三民區安吉里",10407,"高雄市"
1029,53.96,"三民區安邦里",10407,"高雄市"
637,59.37,"三民區安和里",10407,"高雄市"
837,62.84,"三民區安宜里",10407,"高雄市"
822,64.98,"三民區安東里",10407,"高雄市"
1036,56.95,"三民區安泰里",10407,"高雄市"
634,45.16,"三民區安康里",10407,"高雄市"
1273,60.45,"三民區安發里",10407,"高雄市"
388,40.84,"三民區安寧里",10407,"高雄市"
305,56.27,"三民區長明里",10407,"高雄市"
316,41.25,"三民區建東里",10407,"高雄市"
1124,58.12,"三民區博惠里",10407,"高雄市"
343,50.81,"三民區博愛里",10407,"高雄市"
207,47.05,"三民區港西里",10407,"高雄市"
340,42.66,"三民區港東里",10407,"高雄市"
416,58.26,"三民區港新里",10407,"高雄市"
352,58.86,"三民區裕民里",10407,"高雄市"
414,62.82,"三民區達仁里",10407,"高雄市"
435,63.41,"三民區達明里",10407,"高雄市"
281,58.06,"三民區達勇里",10407,"高雄市"
379,63.38,"三民區達德里",10407,"高雄市"
956,63.78,"三民區鼎力里",10407,"高雄市"
907,65.63,"三民區鼎中里",10407,"高雄市"
1895,58.06,"三民區鼎西里",10407,"高雄市"
957,54.25,"三民區鼎金里",10407,"高雄市"
6141,64.65,"三民區鼎泰里",10407,"高雄市"
1066,62.67,"三民區鼎強里",10407,"高雄市"
1992,61.61,"三民區鼎盛里",10407,"高雄市"
429,60.51,"三民區精華里",10407,"高雄市"
359,55.66,"三民區鳳北里",10407,"高雄市"
250,55.19,"三民區鳳南里",10407,"高雄市"
511,54.07,"三民區德仁里",10407,"高雄市"
465,52.66,"三民區德北里",10407,"高雄市"
299,61.65,"三民區德行里",10407,"高雄市"
