"行政區域","綜合所得中位數_log","平均教育程度","有偶比例","女男比","扶老比_log","每戶平均用電度數","cluster"
"鳳山區富甲里",0.278903701777171,0.160127418227022,0.238805782408399,0.204408212560386,0.630645692664076,0.260756822717393,"2"
"鳳山區富榮里",0.424911600205831,0.42731722476886,0.490623343574444,0.404589371980676,0.429457597636283,0.380207869905471,"5"
"鳳山區光明里",0.386077287804042,0.458394841115686,0.450513782204835,0.367904589371981,0.731315706756826,0.498591179299446,"4"
"鳳山區國富里",0.586989856079484,0.499961152979566,0.538948147220608,0.58046497584541,0.405623877458885,0.410172321016215,"7"
"鳳山區國光里",0.319424030274689,0.400745862792324,0.417098384507672,0.525211352657005,0.518498243405883,0.244736518751086,"5"
"鳳山區國隆里",0.292621816454136,0.347603138839251,0.342750259033903,0.446557971014493,0.446575665202895,0.290941600674539,"5"
"鳳山區國泰里",0.408693320920033,0.417372387537876,0.469336008884111,0.4375,0.533711104022016,0.349243473876439,"5"
"鳳山區過埤里",0.593027825325036,0.484655426928755,0.773504277422767,0.391153381642512,0.272184980698699,0.512543800553359,"7"
"鳳山區海光里",0.351007969560983,0.422500194235102,0.401974425081149,0.502868357487923,0.536085899921914,0.374538690665345,"5"
"鳳山區海洋里",0.456466084102681,0.469738171082278,0.594149894287372,0.562047101449275,0.377481048939524,0.419832805820018,"7"
"鳳山區和德里",0.564898495515511,0.503457384818584,0.653357326613089,0.641908212560386,0.492040304760147,0.337083126776915,"7"
"鳳山區和興里",0.460681409053433,0.465464998834589,0.591130823997609,0.565368357487923,0.559981141470644,0.358293822797897,"7"
"鳳山區老爺里",0.389127036740394,0.349700877942662,0.459326495494466,0.435084541062802,0.495848687232545,0.479503247702457,"5"
"鳳山區龍成里",0.386077287804042,0.355217154844223,0.471199591508974,0.417119565217391,0.526225292549312,0.430289856914662,"5"
"鳳山區南成里",0.459278574990224,0.410302229818973,0.651288942423574,0.429649758454106,0.386920730997302,0.482901365602742,"7"
"鳳山區南和里",0.358136146678939,0.352187087250408,0.475422354781169,0.51298309178744,0.610235472026929,0.454449543033646,"5"
"鳳山區南興里",0.405711693659104,0.472535156553492,0.609601289773418,0.386473429951691,0.728078393133713,0.441335858617958,"4"
"鳳山區埤頂里",0.401219952760811,0.409447595369435,0.486347882428554,0.506038647342995,0.563399814527485,0.405375975052222,"5"
"鳳山區瑞興里",0.524180047920195,0.457540206666149,0.516973660717284,0.604468599033816,0.538328644152436,0.380364640930796,"7"
"鳳山區瑞竹里",0.379945441229388,0.396705772667236,0.466563079991207,0.438103864734299,0.66125592604684,0.44198412799295,"5"
"鳳山區三民里",0.480086590900162,0.52264781291275,0.513609014556434,0.461805555555556,0.673711914734174,0.54581739141488,"4"
"鳳山區善美里",0.407203788057923,0.372620619998446,0.47480529058597,0.469202898550725,0.442837621353415,0.416235546347023,"5"
"鳳山區生明里",0.383016781353584,0.393209540828218,0.4305709460968,0.471769323671497,0.59155103597158,0.422811455301191,"5"
"鳳山區天興里",0.335764488350956,0.34286380234636,0.404509280937813,0.483544685990338,0.581350137623096,0.382966192540241,"5"
"鳳山區文德里",0.616768093701637,0.626990909797218,0.71323847236575,0.58046497584541,0.402877729137531,0.472719723066102,"7"
"鳳山區文福里",0.564898495515511,0.553181570973506,0.609685490562778,0.558725845410628,0.324713549332043,0.39750352734807,"7"
"鳳山區文衡里",0.569856524315829,0.584958433688136,0.633418813447906,0.646135265700483,0.42645423402882,0.416227072237546,"7"
"鳳山區文華里",0.511053433271614,0.51099370678269,0.540996839842831,0.602506038647343,0.613470997193498,0.428467923377102,"7"
"鳳山區文山里",0.460681409053433,0.4416129282884,0.486591774245663,0.424214975845411,0.499830644155605,0.433569337282268,"5"
"鳳山區文英里",0.467661757877868,0.4545878331132,0.499049572060838,0.485356280193237,0.563365766588966,0.432976149618877,"5"
"鳳山區五福里",0.401219952760811,0.390878719602206,0.476300267069412,0.473580917874396,0.619611242420365,0.514166592518209,"5"
"鳳山區武漢里",0.445124057509557,0.437728226245047,0.540481096271563,0.461805555555556,0.474407276602284,0.389059077254219,"7"
"鳳山區武慶里",0.407203788057923,0.418770880273483,0.494330751791542,0.459390096618357,0.519061589628401,0.442831538940652,"5"
"鳳山區武松里",0.350212322848571,0.391500271929143,0.385928400501533,0.36850845410628,0.54359013635904,0.424307135623885,"5"
"鳳山區縣口里",0.345423059470124,0.514179162458239,0.573165402379753,0.592391304347826,0.704905130372467,0.364530767372984,"4"
"鳳山區縣衙里",0.39064790072153,0.481003807008002,0.460156101141978,0.479770531400966,0.730009718821343,0.632134670547809,"4"
"鳳山區協和里",0.551115997093711,0.487452412399969,0.508635011672654,0.547705314009662,0.570665295163462,0.402846453373331,"7"
"鳳山區新富里",0.414626011925474,0.397094242871572,0.423116374132976,0.445350241545894,0.448647341598082,0.318393478325347,"5"
"鳳山區新甲里",0.450813603661262,0.408359878797296,0.537947041681132,0.49969806763285,0.485064416904128,0.436213259439099,"7"
"鳳山區新樂里",0.503081070788938,0.474477507575169,0.528232371929803,0.526419082125604,0.346430507005575,0.394804523479639,"7"
"鳳山區新強里",0.539674257499376,0.480848418926268,0.565889350740991,0.53804347826087,0.496870097159503,0.457635808197006,"7"
"鳳山區新泰里",0.517641564234015,0.486597777950431,0.58036204625885,0.527777777777778,0.3416431343784,0.396965421396279,"7"
"鳳山區新武里",0.383016781353584,0.399425064097584,0.455047620576617,0.430253623188406,0.524867460522618,0.376674166253554,"5"
"鳳山區新興里",0.399717523503867,0.221661098593738,0.292364462755302,0,0.60162775811694,0.152741586268553,"8"
"鳳山區興仁里",0.426371066788949,0.433299665915624,0.496721949755392,0.553592995169082,0.663642351300028,0.41032909204154,"4"
"鳳山區興中里",0.399717523503867,0.525522492424831,0.522799168174855,0.552838164251208,0.475803227340724,0.276866104833208,"7"
"鳳山區一甲里",0.430734794406597,0.335871338668324,0.387720849509208,0.459390096618357,0.602887271546585,0.445784766093393,"5"
"鳳山區鎮北里",0.429282655692598,0.450003884702043,0.581506289191226,0.453955314009662,0.409761759475207,0.326287111303191,"7"
"鳳山區鎮東里",0.353390541343947,0.364385051666537,0.425576239353815,0.470410628019324,0.678123291390497,0.374356497311589,"3"
"鳳山區鎮南里",0.387603502232898,0.340843757283816,0.488441256047012,0.401117149758454,0.543822713367492,0.437009825729939,"5"
"鳳山區鎮西里",0.421985281482233,0.420324761090824,0.455788012587549,0.464975845410628,0.682003537453536,0.421366619635359,"4"
"鳳山區正義里",0.384548384009164,0.345116929531505,0.468701886976032,0.462409420289855,0.586841377862747,0.39926614211929,"5"
"鳳山區中和里",0.446549945552873,0.498096495998757,0.470804282456502,0.482940821256039,0.602574310733048,0.46470745255558,"4"
"鳳山區中崙里",0.398212488123749,0.373164478284516,0.510733877696731,0.433876811594203,0.436335963997688,0.603428624694403,"5"
"鳳山區中民里",0.362855937170034,0.328101934581618,0.420171033082531,0.503623188405797,0.325374207833678,0.247503315495333,"5"
"鳳山區中榮里",0.345423059470124,0.285836376349934,0.362940414645516,0.420138888888889,0.400060885388514,0.202115985136412,"5"
"鳳山區中正里",0.416102867906015,0.33571595058659,0.331187892379034,0.57457729468599,0.894458112449655,0.347845245812731,"3"
"鳳山區忠誠里",0.398212488123749,0.439592883225857,0.535482755798177,0.433876811594203,0.511202444915913,0.44044607712287,"5"
"鳳山區忠孝里",0.439396956325964,0.434387382487763,0.496190048205225,0.533514492753623,0.569155676834146,0.352671251159894,"5"
"鳳山區忠義里",0.477340852282528,0.510372154455753,0.550081677832311,0.550271739130435,0.582131158483721,0.435653968213615,"7"
"岡山區白米里",0.408693320920033,0.325304949110403,0.552115232901616,0.410628019323672,0.424465853904499,0.456788397249304,"5"
"岡山區本洲里",0.302769916689347,0.299510527542537,0.53852454108827,0.36850845410628,0.605698012938021,0.396749331604615,"5"
"岡山區碧紅里",0.462081978653893,0.431279620853081,0.474252827498932,0.402928743961353,0.520906835357784,0.587607462300806,"5"
"岡山區程香里",0.463480291090441,0.480770724885401,0.479390869930725,0.429649758454106,0.437447450657743,0.448225309622775,"7"
"岡山區大遼里",0.334144221439234,0.315049335715951,0.340890545221964,0.285477053140097,0.66046358265495,0.404231970272824,"3"
"岡山區大莊里",0.263207044317611,0.174500815787429,0.343542353097189,0.283363526570048,0.667337207999629,0.359954748255393,"2"
"岡山區福興里",0.325997188068789,0.305959132934504,0.303230312171097,0.296950483091787,0.640652124602844,0.383228889934029,"3"
"岡山區岡山里",0.426371066788949,0.434542770569497,0.469546417832819,0.403381642512077,0.574151930800904,0.490210285026672,"5"
"岡山區和平里",0.423449674537164,0.655193846631963,0.533700309955453,0.270229468599034,0.290716071870024,0.514831810112155,"7"
"岡山區後紅里",0.497725173047069,0.408981431124233,0.543980258361936,0.534722222222222,0.471361217992107,0.480244732281696,"7"
"岡山區後協里",0.423449674537164,0.419003962396084,0.418318360352568,0.465579710144927,0.544901692518786,0.498667446284739,"5"
"岡山區華崗里",0.384548384009164,0.213192448139228,0.493522069195478,0.304649758454106,0.594895529950967,0.291437336078945,"1"
"岡山區嘉峰里",0.393681654438473,0.249164789060679,0.377866241020461,0.304649758454106,0.655279472526825,0.299097931046171,"1"
"岡山區嘉興里",0.364423512445724,0.323517986170461,0.450140602432117,0.377113526570048,0.633113882417507,0.516429179748573,"5"
"岡山區劉厝里",0.381482470292251,0.326625747805143,0.368786677160038,0.315217391304348,0.681069326739244,0.412282374275993,"3"
"岡山區平安里",0.39670483756355,0.509828296169684,0.469318404650023,0.489130434782609,0.748198986641213,0.595013833983721,"4"
"岡山區前峰里",0.358136146678939,0.358091834356305,0.355547492009717,0.573822463768116,0.659900404782564,0.4282475965307,"3"
"岡山區仁壽里",0.436519167024159,0.462901095485976,0.423798855456825,0.504830917874396,0.692962669013853,0.540457517170664,"4"
"岡山區仁義里",0.462081978653893,0.527464843446508,0.494854479161208,0.516908212560386,0.884475423674235,0.412295085440209,"4"
"岡山區三和里",0.236397928726148,0.150959521404708,0.416091604441237,0.370772946859903,0.680975128716949,0.0961260608525801,"1"
"岡山區石潭里",0.488272054242005,0.37992385983995,0.481907390771611,0.435688405797101,0.565828567915463,0.484638558045531,"5"
"岡山區壽峰里",0.436519167024159,0.440525211716261,0.453062849401509,0.554800724637681,0.519962059305167,0.44909390584417,"5"
"岡山區壽天里",0.493686441104317,0.484344650765286,0.552185927293982,0.541213768115942,0.632229564444504,0.464851512416689,"4"
"岡山區台上里",0.464876353626683,0.391344883847409,0.543019623030331,0.541213768115942,0.377894356948871,0.412570493998212,"7"
"岡山區潭底里",0.301086787783099,0.23960842203403,0.53542675822424,0.133756038647343,0.629526864237888,0.336964489244237,"1"
"岡山區灣裡里",0.432184506822534,0.40773832647036,0.423748903968958,0.42481884057971,0.490234875850937,0.489324740586324,"5"
"岡山區維仁里",0.362855937170034,0.367415119260353,0.3544276032973,0.441727053140097,0.774691902482669,0.494854097020079,"3"
"岡山區為隨里",0.381482470292251,0.290420324761091,0.347489214709209,0.277324879227053,0.608842586660867,0.481892946574977,"3"
"岡山區協和里",0.413146637860201,0.411623028513713,0.341819052911376,0.501056763285024,0.522346836099732,0.429489053569083,"5"
"岡山區協榮里",0.375317949305381,0.356693341620698,0.448728496106123,0.484752415458937,0.652163584235797,0.383906818692191,"5"
"岡山區信義里",0.588200816051469,0.507419780902805,0.488286628525382,0.438103864734299,0.672233389611776,0.429391601310097,"4"
"岡山區忠孝里",0.405711693659104,0.417450081578743,0.355478618981348,0.555555555555555,0.849912247033487,0.433382906873774,"4"
"岡山區竹圍里",0.490983471070701,0.439359801103255,0.555988809913001,0.490942028985507,0.319459039608628,0.454131763928258,"7"
"鼓山區寶樹里",0.240020700916624,0.218708725040789,0.0977081297945898,0.119716183574879,0.606025321015406,0.132789295504909,"2"
"鼓山區登山里",0.314461275015055,0.293295004273172,0.259002441597782,0.184027777777778,0.856421998216377,0.366467101388483,"8"
"鼓山區峰南里",0.158588973150928,0.234402921295937,0.106766637951136,0.265398550724638,0.744153525097755,0.451784435603124,"2"
"鼓山區鼓峰里",0.312800695218061,0.336570585036128,0.21268863975506,0.508605072463768,0.667464489946081,0.304720502684174,"2"
"鼓山區鼓岩里",0.236397928726148,0.207909253360267,0.0912681047746364,0.348882850241546,0.800033642170005,0.246355073661197,"2"
"鼓山區光化里",0.240020700916624,0.256079558697848,0.191608088143711,0.424214975845411,0.726904358096982,0.279247329596251,"2"
"鼓山區光榮里",0.322716833767868,0.358014140315438,0.276437682029152,0.396437198067633,0.681693475335108,0.41587539669425,"3"
"鼓山區河邊里",0.324358561181209,0.294071944681843,0.266269634477826,0.455163043478261,0.67466256529451,0.323283039493587,"3"
"鼓山區厚生里",0.364423512445724,0.33043275580763,0.37644134365617,0.379378019323671,0.590360152890607,0.344574239554601,"5"
"鼓山區華豐里",0.501745192651166,0.594592494755652,0.52311172400294,0.556159420289855,0.574775365131238,0.453873303589209,"7"
"鼓山區惠安里",0.290918866586389,0.354207132312952,0.324420196448436,0.228411835748792,0.714765168237554,0.47010969734718,"3"
"鼓山區建國里",0.405711693659104,0.428482635381866,0.388750105601139,0.316274154589372,0.643858325015861,0.426760390317483,"3"
"鼓山區麗興里",0.314461275015055,0.324916478906068,0.271418260016536,0.293176328502415,0.742616928734098,0.583285666467525,"3"
"鼓山區龍井里",0.299400387487219,0.298888975215601,0.21809104890563,0.335295893719807,0.70853265922043,0.303779876532225,"2"
