"縣市名稱","行政區域"
"高雄市","鳳山區新興里"
"高雄市","鳳山區海光里"
"高雄市","鳳山區忠誠里"
"高雄市","鳳山區新甲里"
"高雄市","鳳山區武漢里"
"高雄市","鳳山區正義里"
"高雄市","鳳山區一甲里"
"高雄市","鳳山區福興里"
"高雄市","鳳山區東門里"
"高雄市","鳳山區瑞興里"
"高雄市","鳳山區天興里"
"高雄市","鳳山區新強里"
"高雄市","鳳山區國泰里"
"高雄市","鳳山區鳳東里"
"高雄市","鳳山區新富里"
"高雄市","鳳山區國光里"
"高雄市","鳳山區國隆里"
"高雄市","鳳山區文德里"
"高雄市","鳳山區過埤里"
"高雄市","鳳山區曹公里"
"高雄市","鳳山區興仁里"
"高雄市","鳳山區五福里"
"高雄市","鳳山區忠孝里"
"高雄市","鳳山區生明里"
"高雄市","鳳山區和興里"
"高雄市","鳳山區協和里"
"高雄市","鳳山區文山里"
"高雄市","鳳山區福誠里"
"高雄市","鳳山區誠德里"
"高雄市","鳳山區三民里"
"高雄市","鳳山區北門里"
"高雄市","鳳山區富甲里"
"高雄市","鳳山區南成里"
"高雄市","鳳山區文華里"
"高雄市","鳳山區大德里"
"高雄市","鳳山區武松里"
"高雄市","鳳山區文衡里"
"高雄市","鳳山區文福里"
"高雄市","鳳山區誠信里"
"高雄市","鳳山區誠智里"
"高雄市","鳳山區國富里"
"高雄市","鳳山區武慶里"
"高雄市","鳳山區海洋里"
"高雄市","鳳山區新武里"
"高雄市","鳳山區新樂里"
"高雄市","鳳山區新泰里"
"高雄市","鳳山區中崙里"
"高雄市","鳳山區中榮里"
"高雄市","鳳山區中民里"
"高雄市","鳳山區二甲里"
"高雄市","鳳山區龍成里"
"高雄市","鳳山區富榮里"
"高雄市","鳳山區善美里"
"高雄市","鳳山區南和里"
"高雄市","鳳山區福祥里"
"高雄市","鳳山區保安里"
"高雄市","林園區東林里"
"高雄市","林園區林園里"
"高雄市","林園區溪州里"
"高雄市","林園區潭頭里"
"高雄市","林園區中厝里"
"高雄市","林園區中門里"
"高雄市","林園區頂厝里"
"高雄市","林園區港埔里"
"高雄市","林園區西溪里"
"高雄市","林園區港嘴里"
"高雄市","林園區北汕里"
"高雄市","林園區林內里"
"高雄市","林園區王公里"
"高雄市","林園區林家里"
"高雄市","林園區龔厝里"
"高雄市","林園區鳳芸里"
"高雄市","林園區中芸里"
"高雄市","林園區東汕里"
"高雄市","林園區西汕里"
"高雄市","林園區仁愛里"
"高雄市","林園區文賢里"
"高雄市","林園區廣應里"
"高雄市","林園區五福里"
"高雄市","林園區中汕里"
"高雄市","大寮區拷潭里"
"高雄市","大寮區內坑里"
"高雄市","大寮區大寮里"
"高雄市","大寮區上寮里"
"高雄市","大寮區三隆里"
"高雄市","大寮區琉球里"
"高雄市","大寮區翁園里"
"高雄市","大寮區前庄里"
"高雄市","大寮區中庄里"
"高雄市","大寮區後庄里"
"高雄市","大寮區義仁里"
"高雄市","大寮區新厝里"
"高雄市","大寮區過溪里"
"高雄市","大寮區潮寮里"
"高雄市","大寮區會結里"
"高雄市","大寮區會社里"
"高雄市","大寮區山頂里"
"高雄市","大寮區忠義里"
"高雄市","大寮區永芳里"
"高雄市","大寮區義和里"
"高雄市","大寮區溪寮里"
"高雄市","大寮區江山里"
"高雄市","大寮區昭明里"
"高雄市","大寮區光武里"
"高雄市","大寮區中興里"
"高雄市","大樹區竹寮里"
"高雄市","大樹區九曲里"
"高雄市","大樹區久堂里"
"高雄市","大樹區水安里"
"高雄市","大樹區水寮里"
"高雄市","大樹區檨腳里"
"高雄市","大樹區興山里"
"高雄市","大樹區和山里"
"高雄市","大樹區姑山里"
"高雄市","大樹區大坑里"
"高雄市","大樹區井腳里"
"高雄市","大樹區小坪里"
"高雄市","大樹區龍目里"
"高雄市","大樹區大樹里"
"高雄市","大樹區三和里"
"高雄市","大樹區溪埔里"
"高雄市","大樹區興田里"
"高雄市","大樹區統嶺里"
"高雄市","大社區嘉誠里"
"高雄市","大社區保社里"
"高雄市","大社區大社里"
"高雄市","大社區翠屏里"
"高雄市","大社區三奶里"
"高雄市","大社區觀音里"
"高雄市","大社區神農里"
"高雄市","大社區中里里"
"高雄市","大社區保安里"
"高雄市","仁武區大灣里"
"高雄市","仁武區灣內里"
"高雄市","仁武區考潭里"
"高雄市","仁武區烏林里"
"高雄市","仁武區仁福里"
"高雄市","仁武區仁武里"
"高雄市","仁武區文武里"
"高雄市","仁武區竹後里"
"高雄市","仁武區八卦里"
"高雄市","仁武區高楠里"
"高雄市","仁武區後安里"
"高雄市","仁武區中華里"
"高雄市","仁武區五和里"
