YM,CODEBASE,kW,COUNT,CITY,AREA,CODE1,CODE2,VILLCODE
10507,A6312-0347-00,62335,73,臺北市,北投區,A6312-25-003,A6312-25,A6312-025-00
10507,A6312-0348-00,135137,102,臺北市,北投區,A6312-24-004,A6312-24,A6312-023-00
10506,A6312-0349-00,22324,42,臺北市,北投區,A6312-24-006,A6312-24,A6312-024-00
10507,A6312-0350-00,43860,63,臺北市,北投區,A6312-22-007,A6312-22,A6312-023-00
10506,A6312-0351-00,34473,39,臺北市,北投區,A6312-32-003,A6312-32,A6312-034-00
10506,A6312-0352-00,44645,76,臺北市,北投區,A6312-24-005,A6312-24,A6312-024-00
10507,A6312-0353-00,128632,52,臺北市,北投區,A6312-22-011,A6312-22,A6312-023-00
10507,A6312-0354-00,30770,38,臺北市,北投區,A6312-25-003,A6312-25,A6312-025-00
10507,A6312-0355-00,49126,62,臺北市,北投區,A6312-25-004,A6312-25,A6312-025-00
10506,A6312-0355-00,9199,17,臺北市,北投區,A6312-25-004,A6312-25,A6312-025-00
10507,A6312-0356-00,2880,1,臺北市,北投區,A6312-24-006,A6312-24,A6312-024-00
10506,A6312-0356-00,100619,170,臺北市,北投區,A6312-24-006,A6312-24,A6312-024-00
10507,A6312-0357-00,66160,81,臺北市,北投區,A6312-27-001,A6312-27,A6312-023-00
10507,A6312-0358-00,112967,78,臺北市,北投區,A6312-27-001,A6312-27,A6312-023-00
10506,A6312-0359-00,38142,54,臺北市,北投區,A6312-26-002,A6312-26,A6312-037-00
10507,A6312-0360-00,90397,145,臺北市,北投區,A6312-25-005,A6312-25,A6312-025-00
10506,A6312-0360-00,77,1,臺北市,北投區,A6312-25-005,A6312-25,A6312-025-00
10506,A6312-0361-00,42595,53,臺北市,北投區,A6312-26-001,A6312-26,A6312-037-00
10507,A6312-0362-00,84961,108,臺北市,北投區,A6312-25-006,A6312-25,A6312-025-00
10507,A6312-0363-00,307811,124,臺北市,北投區,A6312-24-007,A6312-24,A6312-023-00
10506,A6312-0363-00,80,2,臺北市,北投區,A6312-24-007,A6312-24,A6312-023-00
10507,A6312-0364-00,40,1,臺北市,北投區,A6312-28-001,A6312-28,A6312-024-00
10506,A6312-0364-00,73176,117,臺北市,北投區,A6312-28-001,A6312-28,A6312-024-00
10506,A6312-0365-00,1498,2,臺北市,北投區,A6312-24-008,A6312-24,A6312-024-00
10507,A6312-0366-00,95511,109,臺北市,北投區,A6312-25-007,A6312-25,A6312-025-00
10506,A6312-0367-00,48719,60,臺北市,北投區,A6312-26-002,A6312-26,A6312-037-00
10507,A6312-0368-00,40,1,臺北市,北投區,A6312-30-001,A6312-30,A6312-009-00
10506,A6312-0368-00,77255,124,臺北市,北投區,A6312-30-001,A6312-30,A6312-009-00
10506,A6312-0369-00,40462,64,臺北市,北投區,A6312-26-003,A6312-26,A6312-037-00
10507,A6312-0370-00,61529,75,臺北市,北投區,A6312-29-001,A6312-29,A6312-025-00
10507,A6312-0371-00,76106,91,臺北市,北投區,A6312-25-008,A6312-25,A6312-025-00
10506,A6312-0371-00,40,1,臺北市,北投區,A6312-25-008,A6312-25,A6312-025-00
10507,A6312-0372-00,154364,175,臺北市,北投區,A6312-29-002,A6312-29,A6312-025-00
10506,A6312-0372-00,1681,2,臺北市,北投區,A6312-29-002,A6312-29,A6312-025-00
10507,A6312-0373-00,47430,54,臺北市,文山區,A6312-29-001,A6312-29,A6312-025-00
10507,A6312-0374-00,120112,91,臺北市,北投區,A6312-27-002,A6312-27,A6312-025-00
10506,A6312-0374-00,510,2,臺北市,文山區,A6312-27-002,A6312-27,A6312-025-00
10507,A6312-0375-00,836,1,臺北市,北投區,A6312-30-002,A6312-30,A6312-009-00
10506,A6312-0375-00,114815,183,臺北市,北投區,A6312-30-002,A6312-30,A6312-009-00
10507,A6312-0376-00,53847,68,臺北市,北投區,A6312-27-002,A6312-27,A6312-025-00
10506,A6312-0376-00,2690,4,臺北市,文山區,A6312-27-002,A6312-27,A6312-025-00
10506,A6312-0377-00,59777,92,臺北市,北投區,A6312-30-001,A6312-30,A6312-009-00
10506,A6312-0379-00,83344,91,臺北市,北投區,A6312-28-002,A6312-28,A6312-024-00
10507,A6312-0380-00,61130,119,臺北市,北投區,A6312-25-009,A6312-25,A6312-025-00
10506,A6312-0381-00,57688,44,臺北市,北投區,A6312-32-002,A6312-32,A6312-024-00
10507,A6312-0382-00,20920,2,臺北市,北投區,A6312-24-008,A6312-24,A6312-024-00
10506,A6312-0382-00,79326,82,臺北市,北投區,A6312-24-008,A6312-24,A6312-024-00
10506,A6312-0384-00,36002,58,臺北市,北投區,A6312-26-003,A6312-26,A6312-037-00
10506,A6312-0385-00,20063,18,臺北市,北投區,A6312-28-001,A6312-28,A6312-024-00
10507,A6312-0386-00,62587,76,臺北市,文山區,A6312-29-003,A6312-29,A6312-025-00
