"縣市","行政區域","售電量度數","統計年月","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得平均數","綜合所得中位數","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","每戶平均用電度數","每人平均用電度數"
"高雄市","大社區神農里",2270618,10407,4975,0.0436,0.236,0.7204,"1120","836360","747","572",2061,5570,0.5005,0.4995,0.2038,0.3199,0.3883,0.088,11,8,3,3,4,1209,58.52,1101.71,407.65
"高雄市","大社區中里里",1388273,10407,3363,0.0342,0.1912,0.7746,"787","585895","744","567",1338,3829,0.486,0.514,0.2108,0.3035,0.3792,0.1066,7,5,2,3,0,737,55.33,1037.57,362.57
"高雄市","大樹區大坑里",468370,10407,1543,0.0318,0.1704,0.7978,"291","203355","699","536",526,1733,0.4697,0.5303,0.2147,0.2695,0.3797,0.1362,3,2,1,0,0,332,63,890.44,270.27
"高雄市","大樹區大樹里",1231037,10407,2554,0.0286,0.1719,0.7995,"562","369062","657","521",899,2925,0.4656,0.5344,0.2051,0.2947,0.373,0.1272,2,1,1,5,4,578,64.37,1369.34,420.87
"高雄市","大樹區姑山里",325327,10407,1033,0.03,0.1752,0.7948,"211","142158","674","568",342,1168,0.4692,0.5308,0.2021,0.25,0.369,0.1789,3,3,0,2,0,210,62.13,951.25,278.53
"高雄市","大樹區和山里",238589,10407,1068,0.0187,0.1601,0.8212,"186","111258","598","485",312,1168,0.4683,0.5317,0.1704,0.2945,0.3707,0.1644,0,0,0,1,1,188,60.45,764.71,204.27
"高雄市","大樹區井腳里",475686,10407,1693,0.0272,0.1577,0.8151,"331","236598","715","587",540,1893,0.4617,0.5383,0.1976,0.2736,0.3714,0.1574,1,1,0,1,0,332,61.6,880.9,251.29
"高雄市","大樹區九曲里",2144102,10407,5068,0.0298,0.2013,0.7689,"1145","771355","674","540",1989,5784,0.4991,0.5009,0.2275,0.3034,0.3719,0.0972,4,3,1,6,3,1140,57,1077.98,370.7
"高雄市","大樹區久堂里",1705176,10407,4211,0.0418,0.2137,0.7445,"1030","752338","730","556",1617,4735,0.4986,0.5014,0.1892,0.2959,0.3692,0.1457,5,3,2,4,0,994,61.28,1054.53,360.12
"高雄市","大樹區龍目里",471945,10407,1768,0.0226,0.164,0.8133,"357","245525","688","545",510,1965,0.4631,0.5369,0.2031,0.2774,0.3715,0.1481,0,0,0,1,0,320,62.75,925.38,240.18
