"YM","CODEBASE","kW"
10507,"A6301-0290-00",212057
10506,"A6301-0291-00",152771
10506,"A6301-0292-00",59484
10507,"A6301-0293-00",13135
10506,"A6301-0293-00",124938
10506,"A6301-0294-00",51418
10507,"A6301-0295-00",17124
10506,"A6301-0295-00",16830
10507,"A6301-0296-00",191870
10506,"A6301-0296-00",300083
10507,"A6301-0297-00",1678
10506,"A6301-0297-00",113684
10507,"A6301-0298-00",105
10506,"A6301-0298-00",1808
10507,"A6301-0299-00",92094
10507,"A6301-0300-00",110500
10506,"A6301-0300-00",2520
10506,"A6301-0301-00",59758
10506,"A6301-0302-00",28771
10507,"A6301-0303-00",15361
10506,"A6301-0303-00",146911
10507,"A6301-0304-00",18960
10506,"A6301-0304-00",177603
10507,"A6301-0305-00",80
10506,"A6301-0305-00",94699
10507,"A6301-0306-00",5346
10506,"A6301-0306-00",86595
10507,"A6301-0307-00",14040
10506,"A6301-0307-00",72144
10506,"A6301-0308-00",69406
10506,"A6301-0309-00",48859
10507,"A6301-0310-00",13459
10506,"A6301-0310-00",147154
10507,"A6301-0311-00",8293
10506,"A6301-0311-00",85076
10507,"A6301-0312-00",1480
10506,"A6301-0312-00",69252
10506,"A6301-0313-00",51520
10507,"A6301-0314-00",23656
10506,"A6301-0314-00",90909
10507,"A6301-0315-00",4089
10506,"A6301-0315-00",81193
10507,"A6301-0316-00",0
10506,"A6301-0316-00",81278
10506,"A6301-0317-00",53132
10507,"A6301-0318-00",119329
10506,"A6301-0318-00",153
10506,"A6301-0319-00",102862
10506,"A6301-0320-00",81211
10507,"A6301-0321-00",115489
10506,"A6301-0321-00",40
10507,"A6301-0322-00",164947
10506,"A6301-0322-00",2551
10506,"A6301-0323-00",50610
10506,"A6301-0324-00",31340
10507,"A6301-0325-00",61786
10506,"A6301-0325-00",565
10506,"A6301-0326-00",65437
10507,"A6301-0327-00",4805
10506,"A6301-0327-00",56072
10506,"A6301-0328-00",70084
10507,"A6301-0329-00",19157
10506,"A6301-0329-00",159471
10507,"A6301-0330-00",7015
10506,"A6301-0330-00",59894
10507,"A6301-0331-00",20704
10506,"A6301-0331-00",134373
10507,"A6301-0332-00",72
10506,"A6301-0332-00",86563
10507,"A6301-0333-00",2478
10506,"A6301-0333-00",46733
10506,"A6301-0334-00",59180
10507,"A6301-0335-00",229581
10506,"A6301-0335-00",80
10507,"A6301-0336-00",8451
10506,"A6301-0336-00",104888
10506,"A6301-0337-00",97861
10507,"A6301-0338-00",2312
10506,"A6301-0338-00",35919
10507,"A6301-0339-00",43
10506,"A6301-0339-00",64776
10507,"A6301-0340-00",4079
10506,"A6301-0340-00",70027
10506,"A6301-0341-00",35009
10507,"A6301-0342-00",135944
10507,"A6301-0343-00",58720
10506,"A6301-0343-00",199910
10507,"A6301-0344-00",4259
10506,"A6301-0344-00",125673
10507,"A6301-0345-00",74774
10507,"A6301-0346-00",157759
10506,"A6301-0346-00",27706
10506,"A6301-0347-00",102433
10507,"A6301-0348-00",40
10506,"A6301-0348-00",44346
10507,"A6301-0349-00",57920
10507,"A6301-0351-00",60510
10507,"A6301-0352-00",1056
10506,"A6301-0352-00",70672
10507,"A6301-0353-00",54541
10506,"A6301-0353-00",24640
10507,"A6301-0354-00",40780
10506,"A6301-0354-00",65999
10507,"A6301-0355-00",10661
10506,"A6301-0355-00",81755
10507,"A6301-0356-00",193702
10506,"A6301-0356-00",200047
10507,"A6301-0357-00",18274
10506,"A6301-0357-00",39941
10507,"A6301-0358-00",19030
10506,"A6301-0358-00",134817
10507,"A6301-0359-00",11654
10506,"A6301-0359-00",141379
10507,"A6301-0360-00",1646
10506,"A6301-0360-00",39705
10506,"A6301-0361-00",109709
10507,"A6301-0362-00",175003
10507,"A6301-0363-00",160685
10507,"A6301-0364-00",57702
10506,"A6301-0364-00",40
10507,"A6301-0365-00",140203
10506,"A6301-0365-00",850
10507,"A6301-0366-00",232299
10506,"A6301-0366-00",244
10506,"A6301-0367-00",64558
10506,"A6301-0368-00",18233
10507,"A6301-0369-00",4280
10506,"A6301-0369-00",70719
10507,"A6301-0370-00",118783
10506,"A6301-0370-00",317
10507,"A6301-0371-00",2376
10506,"A6301-0371-00",48287
10506,"A6301-0372-00",77180
10506,"A6301-0373-00",92490
10506,"A6301-0374-00",41122
10507,"A6301-0375-00",77589
10506,"A6301-0375-00",203660
10507,"A6301-0376-00",113471
10506,"A6301-0376-00",8248
10507,"A6301-0377-00",23
10506,"A6301-0377-00",65120
10507,"A6301-0378-00",28054
10506,"A6301-0378-00",18337
10507,"A6301-0379-00",40353
10506,"A6301-0379-00",9130
10507,"A6301-0380-00",3510
10506,"A6301-0380-00",84150
10507,"A6301-0381-00",112584
10506,"A6301-0381-00",144
10507,"A6301-0382-00",77922
10506,"A6301-0382-00",102860
10507,"A6301-0383-00",4686
10506,"A6301-0383-00",89927
10506,"A6301-0384-00",69517
10507,"A6301-0385-00",7572
10506,"A6301-0385-00",174107
10507,"A6301-0386-00",7840
10506,"A6301-0386-00",3426
10507,"A6301-0387-00",56078
10507,"A6301-0389-00",80771
10507,"A6301-0390-00",5389
10506,"A6301-0390-00",210450
10507,"A6301-0391-00",900
10506,"A6301-0391-00",74361
10507,"A6301-0392-00",120674
10507,"A6301-0393-00",2392
10506,"A6301-0393-00",58633
10506,"A6301-0394-00",61597
10507,"A6301-0395-00",79233
10506,"A6301-0395-00",101638
10506,"A6301-0396-00",56005
10507,"A6301-0396-00",40
10506,"A6301-0398-00",71088
10506,"A6301-0399-00",71852
10507,"A6301-0400-00",19062
10506,"A6301-0400-00",113730
10507,"A6301-0401-00",50221
10506,"A6301-0401-00",105296
10507,"A6301-0402-00",236908
10506,"A6301-0402-00",166904
10506,"A6301-0403-00",27693
10507,"A6301-0404-00",31096
10506,"A6301-0404-00",62435
10507,"A6301-0405-00",69468
10506,"A6301-0405-00",78709
10507,"A6301-0406-00",555
10506,"A6301-0406-00",29226
10507,"A6301-0407-00",194650
10506,"A6301-0407-00",247478
10507,"A6301-0408-00",21874
10506,"A6301-0408-00",105597
10507,"A6301-0410-00",25649
10506,"A6301-0410-00",236133
10506,"A6301-0411-00",112994
10507,"A6301-0412-00",20520
10506,"A6301-0412-00",146746
10507,"A6301-0413-00",637
10506,"A6301-0413-00",112929
10507,"A6301-0414-00",9462
10506,"A6301-0414-00",65457
10506,"A6301-0415-00",10271
10507,"A6301-0416-00",26202
10506,"A6301-0416-00",114800
10507,"A6301-0417-00",18982
10506,"A6301-0417-00",82256
10507,"A6301-0418-00",14174
10506,"A6301-0418-00",98124
10507,"A6301-0419-00",0
10506,"A6301-0419-00",69813
10506,"A6301-0420-00",59805
10506,"A6301-0421-00",50875
10506,"A6301-0422-00",59866
10507,"A6301-0424-00",469677
10506,"A6301-0424-00",616937
10507,"A6301-0425-00",157
10506,"A6301-0425-00",79613
10507,"A6301-0426-00",18862
10506,"A6301-0426-00",55112
10507,"A6301-0427-00",1680
10506,"A6301-0427-00",84692
10506,"A6301-0428-00",45313
10507,"A6301-0429-00",37979
10506,"A6301-0429-00",133379
10507,"A6301-0430-00",5285
10506,"A6301-0430-00",57114
10507,"A6301-0431-00",261490
10506,"A6301-0431-00",115961
10506,"A6301-0432-00",60931
10506,"A6301-0433-00",60835
10507,"A6301-0434-00",33532
10506,"A6301-0434-00",47190
10507,"A6301-0435-00",0
10506,"A6301-0435-00",61433
10507,"A6301-0436-00",25734
10506,"A6301-0436-00",41422
10506,"A6301-0437-00",36748
10507,"A6301-0438-00",14160
10506,"A6301-0438-00",77000
10506,"A6301-0439-00",53362
10507,"A6301-0440-00",8544
10506,"A6301-0440-00",109414
10507,"A6301-0441-00",8071
10506,"A6301-0441-00",150283
10506,"A6301-0443-00",59227
10507,"A6301-0444-00",8576
10506,"A6301-0444-00",104542
10507,"A6301-0445-00",13200
10506,"A6301-0445-00",67305
10506,"A6301-0446-00",73837
10507,"A6301-0447-00",24066
10506,"A6301-0447-00",80431
10506,"A6301-0448-00",87798
10507,"A6301-0449-00",25078
10506,"A6301-0449-00",111997
10507,"A6301-0450-00",49794
10506,"A6301-0450-00",259890
10506,"A6301-0451-00",70573
10506,"A6301-0452-00",52306
10507,"A6301-0453-00",6352
10506,"A6301-0453-00",133791
10507,"A6301-0454-00",19419
10506,"A6301-0454-00",69198
10507,"A6301-0455-00",356
10506,"A6301-0455-00",117269
10507,"A6301-0456-00",18414
10506,"A6301-0456-00",52248
10507,"A6301-0457-00",791
10506,"A6301-0457-00",62187
10507,"A6301-0458-00",14436
10506,"A6301-0458-00",99549
10507,"A6301-0459-00",11702
10506,"A6301-0459-00",14031
10507,"A6301-0460-00",231
10506,"A6301-0460-00",131587
10507,"A6301-0461-00",2080
10506,"A6301-0461-00",159224
10507,"A6301-0462-00",40
10506,"A6301-0462-00",61811
10507,"A6301-0463-00",5822
10506,"A6301-0463-00",112855
10507,"A6301-0464-00",23269
10506,"A6301-0464-00",123930
10507,"A6301-0465-00",563
10506,"A6301-0465-00",138070
10507,"A6301-0466-00",13184
10506,"A6301-0466-00",84552
10506,"A6301-0467-00",2527
10507,"A6301-0468-00",42743
10506,"A6301-0468-00",539157
10507,"A6301-0469-00",30466
10506,"A6301-0469-00",99224
10506,"A6301-0470-00",66099
10507,"A6301-0471-00",4345
10506,"A6301-0471-00",69359
10507,"A6301-0472-00",2362
10506,"A6301-0472-00",132402
10507,"A6301-0473-00",5709
10506,"A6301-0473-00",69836
10507,"A6301-0474-00",201
10506,"A6301-0474-00",99777
10507,"A6301-0475-00",1096
10506,"A6301-0475-00",78563
10507,"A6301-0476-00",13440
10506,"A6301-0476-00",100583
10507,"A6301-0477-00",36497
10506,"A6301-0477-00",131063
10506,"A6301-0478-00",45246
10507,"A6301-0479-00",20393
10506,"A6301-0479-00",84781
10507,"A6301-0480-00",40
10506,"A6301-0480-00",99301
10507,"A6301-0481-00",4227
10506,"A6301-0481-00",95232
10506,"A6301-0482-00",93026
10507,"A6301-0483-00",990
10506,"A6301-0483-00",56613
10507,"A6301-0484-00",206865
10506,"A6301-0484-00",287983
10507,"A6301-0485-00",18440
10506,"A6301-0485-00",34206
10507,"A6301-0486-00",17968
10506,"A6301-0486-00",148654
10507,"A6301-0487-00",25881
10506,"A6301-0487-00",93836
10507,"A6301-0488-00",1112
10506,"A6301-0488-00",94544
10507,"A6301-0489-00",15116
10506,"A6301-0489-00",124586
10507,"A6301-0490-00",16574
10506,"A6301-0490-00",86820
10507,"A6301-0491-00",27003
10506,"A6301-0491-00",185541
10507,"A6301-0492-00",7957
10506,"A6301-0492-00",134346
10507,"A6301-0493-00",78757
10506,"A6301-0493-00",168088
10507,"A6301-0494-00",5654
10506,"A6301-0494-00",109160
10507,"A6301-0495-00",3280
10506,"A6301-0495-00",79446
10506,"A6301-0496-00",53540
10507,"A6301-0497-00",2498
10506,"A6301-0497-00",135836
10507,"A6301-0498-00",2697
10506,"A6301-0498-00",74369
10507,"A6301-0499-00",15240
10506,"A6301-0499-00",83995
10507,"A6301-0500-00",84949
10506,"A6301-0500-00",594578
10507,"A6301-0501-00",73
10506,"A6301-0501-00",88277
10507,"A6301-0502-00",99542
10506,"A6301-0502-00",385244
10507,"A6301-0503-00",32859
10506,"A6301-0503-00",95396
10507,"A6301-0504-00",102154
10506,"A6301-0504-00",134529
10507,"A6301-0505-00",64207
10506,"A6301-0505-00",305452
10507,"A6301-0507-00",173428
10506,"A6301-0507-00",397553
10507,"A6301-0508-00",13509
10506,"A6301-0508-00",264052
10507,"A6301-0509-00",34844
10506,"A6301-0509-00",190428
10507,"A6301-0510-00",91381
10506,"A6301-0510-00",249534
10506,"A6301-0511-00",68487
10507,"A6301-0512-00",21452
10506,"A6301-0512-00",96032
10507,"A6301-0513-00",1592
10506,"A6301-0513-00",102971
10506,"A6301-0514-00",79701
10507,"A6301-0515-00",231
10506,"A6301-0515-00",45950
10507,"A6301-0516-00",18216
10506,"A6301-0516-00",203423
10507,"A6301-0517-00",78641
10506,"A6301-0517-00",199915
10507,"A6301-0518-00",101645
10506,"A6301-0518-00",355659
10507,"A6301-0519-00",62723
10506,"A6301-0519-00",353180
10507,"A6301-0520-00",24040
10506,"A6301-0520-00",102006
10506,"A6301-0521-00",26712
10507,"A6301-0522-00",238268
10506,"A6301-0522-00",270050
10507,"A6301-0523-00",183806
10506,"A6301-0523-00",455385
10507,"A6301-0524-00",46270
10506,"A6301-0524-00",145572
10507,"A6301-0525-00",49209
10506,"A6301-0525-00",141658
10507,"A6301-0526-00",21344
10506,"A6301-0526-00",218145
10507,"A6301-0527-00",15337
10506,"A6301-0527-00",80923
10507,"A6301-0528-00",62947
10506,"A6301-0528-00",191180
10507,"A6301-0529-00",2803
10506,"A6301-0529-00",121399
10507,"A6301-0530-00",12766
10506,"A6301-0530-00",71770
10507,"A6301-0531-00",378762
10506,"A6301-0531-00",18094
10507,"A6301-0532-00",20208
10506,"A6301-0532-00",100924
10507,"A6301-0533-00",1141674
10506,"A6301-0533-00",66402
10507,"A6301-0534-00",41360
10506,"A6301-0534-00",181197
10507,"A6301-0535-00",132129
10506,"A6301-0535-00",296103
10507,"A6301-0536-00",106327
10506,"A6301-0536-00",177810
10507,"A6301-0537-00",18195
10506,"A6301-0537-00",242021
10507,"A6301-0538-00",142799
10506,"A6301-0538-00",419762
10507,"A6301-0539-00",52456
10506,"A6301-0539-00",158580
10507,"A6301-0540-00",94569
10506,"A6301-0540-00",102822
10507,"A6301-0542-00",154763
10506,"A6301-0542-00",239531
10507,"A6301-0543-00",13540
10506,"A6301-0543-00",85204
10507,"A6301-0544-00",837938
10506,"A6301-0544-00",1894
10507,"A6301-0545-00",95460
10506,"A6301-0545-00",292481
10507,"A6301-0546-00",52720
10506,"A6301-0546-00",50331
10507,"A6301-0547-00",52167
10506,"A6301-0547-00",127325
10507,"A6301-0548-00",256279
10506,"A6301-0548-00",243708
10507,"A6301-0549-00",21027
10506,"A6301-0549-00",94066
10507,"A6301-0550-00",4936
10506,"A6301-0550-00",85859
10507,"A6301-0551-00",310332
10506,"A6301-0551-00",292958
10507,"A6301-0552-00",52572
10506,"A6301-0552-00",61465
10507,"A6301-0553-00",278913
10506,"A6301-0553-00",323518
10507,"A6301-0554-00",131147
10506,"A6301-0554-00",106283
