"縣市","統計年月","行政區域","售電量度數"
"高雄市",10407,"仁武區赤山里","2686044"
"高雄市",10407,"仁武區後安里","5287"
"高雄市",10407,"仁武區烏林里","0"
"高雄市",10407,"仁武區高楠里","620490"
"高雄市",10407,"仁武區灣內里","3566707"
"高雄市",10407,"橋頭區三德里","281390"
"高雄市",10407,"橋頭區中崎里","274517"
"高雄市",10407,"橋頭區仕和里","9776"
"高雄市",10407,"橋頭區仕隆里","165917"
"高雄市",10407,"橋頭區仕豐里","6760"
"高雄市",10407,"橋頭區甲北里","3697"
"高雄市",10407,"橋頭區白樹里","1279829"
"高雄市",10407,"橋頭區西林里","378570"
"高雄市",10407,"橋頭區芋寮里","517486"
"高雄市",10407,"橋頭區東林里","855704"
"高雄市",10407,"橋頭區頂鹽里","240"
"高雄市",10407,"橋頭區筆秀里","609191"
"高雄市",10407,"橋頭區新莊里","474289"
"高雄市",10407,"橋頭區德松里","539079"
"高雄市",10407,"橋頭區橋南里","645683"
"高雄市",10407,"橋頭區橋頭里","1189330"
"高雄市",10407,"前鎮區仁愛里","6633"
"高雄市",10407,"前鎮區平等里","632"
"高雄市",10407,"前鎮區民權里","30734"
"高雄市",10407,"前鎮區竹中里","7680"
"高雄市",10407,"前鎮區竹北里","360"
"高雄市",10407,"前鎮區竹南里","56"
"高雄市",10407,"前鎮區西甲里","10041"
"高雄市",10407,"前鎮區良和里","2425"
"高雄市",10407,"前鎮區忠孝里","3059"
"高雄市",10407,"前鎮區忠純里","3732"
"高雄市",10407,"前鎮區忠誠里","1020"
"高雄市",10407,"前鎮區明正里","808658"
"高雄市",10407,"前鎮區明孝里","5387"
"高雄市",10407,"前鎮區明義里","568010"
"高雄市",10407,"前鎮區信義里","94320"
"高雄市",10407,"前鎮區信德里","0"
"高雄市",10407,"前鎮區前鎮里","35069"
"高雄市",10407,"前鎮區草衙里","27584"
"高雄市",10407,"前鎮區盛興里","0"
"高雄市",10407,"前鎮區復國里","2696"
"高雄市",10407,"前鎮區瑞平里","1493235"
"高雄市",10407,"前鎮區瑞竹里","239461"
"高雄市",10407,"前鎮區瑞西里","368"
"高雄市",10407,"前鎮區瑞和里","685439"
"高雄市",10407,"前鎮區瑞昌里","15924"
"高雄市",10407,"前鎮區瑞東里","892722"
"高雄市",10407,"前鎮區瑞南里","1649392"
"高雄市",10407,"前鎮區瑞崗里","75901"
"高雄市",10407,"前鎮區瑞祥里","1814073"
"高雄市",10407,"前鎮區瑞華里","17480"
