"統計年月","行政區域","納稅單位_n","綜合所得總額_n","綜合所得平均數_n","綜合所得中位數_n"
10101,"鳳山區北門里",1039,719542,693,558
10101,"鳳山區曹公里",629,553992,881,644
10101,"鳳山區成功里",221,180654,817,509
10101,"鳳山區誠德里",518,387161,747,563
10101,"鳳山區誠信里",561,415966,741,591
10101,"鳳山區誠義里",1265,1267034,1002,792
10101,"鳳山區誠智里",737,548333,744,577
10101,"鳳山區大德里",1331,987018,742,604
10101,"鳳山區東門里",1355,957385,707,568
10101,"鳳山區二甲里",1315,990535,753,593
10101,"鳳山區鳳東里",1662,1451460,873,665
10101,"鳳山區鳳崗里",378,341950,905,674
10101,"鳳山區福誠里",1080,890472,825,623
10101,"鳳山區福祥里",798,721910,905,573
10101,"鳳山區福興里",1650,1170633,709,562
10101,"鳳山區富甲里",498,335191,673,502
10101,"鳳山區富榮里",667,538336,807,594
10101,"鳳山區光明里",403,397935,987,568
10101,"鳳山區國富里",815,719293,883,716
10101,"鳳山區國光里",1071,747745,698,526
10101,"鳳山區國隆里",798,542593,680,510
10101,"鳳山區國泰里",1216,917910,755,583
10101,"鳳山區過埤里",3511,3050790,869,721
10101,"鳳山區海光里",1306,925559,695.5,545.5
10101,"鳳山區海洋里",1125,967894,860,616
10101,"鳳山區和德里",629,555565,883,698
10101,"鳳山區和興里",1448,1240500,857,619
10101,"鳳山區老爺里",1978,1433971,725,570
10101,"鳳山區龍成里",815,609927,748,568
10101,"鳳山區南成里",2266,1814368,801,618
10101,"鳳山區南和里",738,535774,726,550
10101,"鳳山區南興里",267,204633,766,581
10101,"鳳山區埤頂里",1665,1249063,750,578
10101,"鳳山區瑞興里",1357,1158588,854,666
10101,"鳳山區瑞竹里",1390,1074508,773,564
10101,"鳳山區三民里",341,279252,819,633
10101,"鳳山區善美里",1619,1268466,783,582
10101,"鳳山區生明里",554,421583,761,566
10101,"鳳山區天興里",1063,754821,710,536
10101,"鳳山區文德里",2888,3195620,1107,741
10101,"鳳山區文福里",2815,2586185,919,698
10101,"鳳山區文衡里",1307,1226875,939,702
10101,"鳳山區文華里",2417,2198288,910,656
10101,"鳳山區文山里",1675,1400377,836,619
10101,"鳳山區文英里",1005,814040,810,624
10101,"鳳山區五福里",926,711799,769,578
10101,"鳳山區武漢里",1437,1180448,821,608
10101,"鳳山區武慶里",717,559869,781,582
10101,"鳳山區武松里",719,515440,717,545
10101,"鳳山區縣口里",124,116807,942,542
10101,"鳳山區縣衙里",259,198039,765,571
10101,"鳳山區協和里",1225,1120044,914,687
10101,"鳳山區新富里",1223,964276,788,587
10101,"鳳山區新甲里",925,751273,812,612
10101,"鳳山區新樂里",1348,1223714,908,650
10101,"鳳山區新強里",1594,1453645,912,678
10101,"鳳山區新泰里",1188,1026037,864,661
10101,"鳳山區新武里",634,477168,753,566
10101,"鳳山區新興里",421,342854,814,577
10101,"鳳山區興仁里",1050,803024,765,595
10101,"鳳山區興中里",210,163570,779,577
10101,"鳳山區一甲里",956,710534,743,598
10101,"鳳山區鎮北里",1610,1217878,756,597
10101,"鳳山區鎮東里",536,375456,700,547
10101,"鳳山區鎮南里",1423,1097260,771,569
10101,"鳳山區鎮西里",1438,1151552,801,592
10101,"鳳山區正義里",1800,1342770,746,567
10101,"鳳山區中和里",1090,931133,854,609
10101,"鳳山區中崙里",735,528865,720,576
10101,"鳳山區中民里",1173,818809,698,553
10101,"鳳山區中榮里",1044,705085,675,542
10101,"鳳山區中正里",332,247765,746,588
10101,"鳳山區忠誠里",896,691062,771,576
10101,"鳳山區忠孝里",1643,1375945,837,604
10101,"鳳山區忠義里",1419,1298189,915,631
10101,"岡山區白米里",560,390421,697,583
10101,"岡山區本洲里",500,407703,815,516
10101,"岡山區碧紅里",1192,975759,819,620
10101,"岡山區程香里",1364,1119096,820,621
10101,"岡山區大遼里",361,247624,686,535
10101,"岡山區大莊里",241,168295,698,493
10101,"岡山區福興里",300,196444,655,530
10101,"岡山區岡山里",1375,1144688,833,595
10101,"岡山區和平里",121,92333,763,593
10101,"岡山區後紅里",1215,1019020,839,646
10101,"岡山區後協里",1658,1257332,758,593
10101,"岡山區華崗里",429,321454,749,567
10101,"岡山區嘉峰里",532,390905,735,573
10101,"岡山區嘉興里",1109,801042,722,554
10101,"岡山區劉厝里",382,291079,762,565
10101,"岡山區平安里",385,339141,881,575
10101,"岡山區前峰里",849,634089,747,550
10101,"岡山區仁壽里",1136,1558283,1372,602
10101,"岡山區仁義里",556,440506,792,620
10101,"岡山區三和里",244,154364,633,478
10101,"岡山區石潭里",572,470026,822,639
10101,"岡山區壽峰里",746,616253,826,602
10101,"岡山區壽天里",1145,1169751,1022,643
10101,"岡山區台上里",1677,1359074,810,622
10101,"岡山區潭底里",229,141744,619,515
10101,"岡山區灣裡里",567,436283,769,599
10101,"岡山區維仁里",298,225101,755,553
10101,"岡山區為隨里",186,129924,699,565
10101,"岡山區協和里",1111,919034,827,586
10101,"岡山區協榮里",692,506609,732,561
10101,"岡山區信義里",598,487367,815,717
10101,"岡山區忠孝里",749,580167,775,581
10101,"岡山區竹圍里",2158,1851904,858,641
10101,"鼓山區寶樹里",275,187098,680,480
10101,"鼓山區登山里",174,144227,829,523
10101,"鼓山區峰南里",218,134812,618,437
10101,"鼓山區鼓峰里",507,324680,640,522
10101,"鼓山區鼓岩里",302,173025,573,478
10101,"鼓山區光化里",303,193183,638,480
10101,"鼓山區光榮里",1067,771149,723,528
10101,"鼓山區河邊里",390,283950,728,529
10101,"鼓山區厚生里",887,635133,716,554
10101,"鼓山區華豐里",1307,1243731,952,649
10101,"鼓山區惠安里",362,308106,851,509
10101,"鼓山區建國里",737,608332,825,581
10101,"鼓山區麗興里",275,272641,991,523
10101,"鼓山區龍井里",355,234564,661,514
10101,"鼓山區龍水里",6674,9290323,1392,918
10101,"鼓山區龍子里",5034,5684553,1129,804
10101,"鼓山區綠川里",353,234038,663,529
10101,"鼓山區民強里",817,551193,675,526
10101,"鼓山區民族里",379,264737,699,544
10101,"鼓山區明誠里",5430,5473567,1008,755
10101,"鼓山區內惟里",283,215164,760,560
10101,"鼓山區平和里",1146,859031,750,543
10101,"鼓山區前峰里",1396,1182704,847,634
10101,"鼓山區山下里",375,282712,754,585
10101,"鼓山區哨船頭里",280,220293,787,529
10101,"鼓山區壽山里",360,272286,756,504
10101,"鼓山區樹德里",333,244349,734,533
10101,"鼓山區桃源里",188,166407,885,588
10101,"鼓山區維生里",413,504960,1223,585
10101,"鼓山區新民里",264,169750,643,476
10101,"鼓山區興宗里",355,241859,681,530
10101,"鼓山區雄峰里",558,365992,656,530
10101,"鼓山區延平里",278,206317,742,501
10101,"鼓山區裕豐里",912,915111,1003,667
10101,"鼓山區裕興里",963,805554,837,591
10101,"鼓山區正德里",555,406443,732,583
10101,"鼓山區忠正里",1077,852619,792,542
10101,"鼓山區自強里",200,160505,803,623
10101,"湖內區大湖里",1083,881571,814,568
10101,"湖內區公舘里",651,474577,729,600
10101,"湖內區海埔里",465,275071,592,463
10101,"湖內區海山里",264,201678,764,523
10101,"湖內區湖東里",699,511410,732,510
10101,"湖內區湖內里",1018,722890,710,577
10101,"湖內區劉家里",213,127097,597,514
10101,"湖內區太爺里",257,175325,682,500
10101,"湖內區田尾里",345,248627,721,509
10101,"湖內區文賢里",304,207626,683,526
10101,"湖內區葉厝里",754,505321,670,514
10101,"湖內區逸賢里",248,138563,559,441
10101,"湖內區中賢里",567,334076,589,461
10101,"湖內區忠興里",164,93925,573,481
10101,"茄萣區白雲里",404,243389,602,458
10101,"茄萣區保定里",754,446244,592,461
10101,"茄萣區大定里",267,165741,621,443
10101,"茄萣區福德里",235,147926,629,477
10101,"茄萣區光定里",232,136048,586,461
10101,"茄萣區和協里",255,146054,573,506
10101,"茄萣區吉定里",240,154698,645,490
10101,"茄萣區嘉安里",427,234912,550,445
10101,"茄萣區嘉賜里",927,571002,616,500
10101,"茄萣區嘉定里",255,160012,627,524
10101,"茄萣區嘉福里",225,113999,507,386
10101,"茄萣區嘉樂里",523,300601,575,459
10101,"茄萣區嘉泰里",263,147922,562,442
10101,"茄萣區崎漏里",1003,598664,597,462
10101,"茄萣區萬福里",209,125580,601,427
10101,"甲仙區寶隆里",118,54530,462,371
10101,"甲仙區大田里",267,130150,487,414
10101,"甲仙區東安里",81,54726,676,497
10101,"甲仙區關山里",78,36790,472,364
10101,"甲仙區和安里",127,82318,648,513
10101,"甲仙區西安里",192,122796,640,516
10101,"甲仙區小林里",85,36851,434,393
10101,"林園區北汕里",377,260508,691,569
10101,"林園區頂厝里",1210,901925,745,583
10101,"林園區東林里",795,598795,753,596
10101,"林園區東汕里",204,128883,632,541
10101,"林園區鳳芸里",448,326045,728,596
10101,"林園區港埔里",434,306504,706,541
10101,"林園區港嘴里",434,290518,669,547
10101,"林園區龔厝里",540,407115,754,592
10101,"林園區廣應里",982,732782,746,593
10101,"林園區林家里",349,257052,737,550
10101,"林園區林內里",390,275442,706,568
10101,"林園區林園里",995,788093,792,594
10101,"林園區仁愛里",884,763870,864,675
10101,"林園區潭頭里",674,489905,727,544
10101,"林園區王公里",1190,957653,805,650
10101,"林園區文賢里",592,425679,719,577
10101,"林園區五福里",575,377076,656,523
10101,"林園區溪州里",1024,737571,720,572
10101,"林園區西汕里",153,98854,646,558
10101,"林園區西溪里",823,546093,664,540
10101,"林園區中厝里",695,489023,704,577
10101,"林園區中門里",621,441029,710,570
10101,"林園區中汕里",509,337227,663,549
10101,"林園區中芸里",471,321800,683,563
10101,"苓雅區安祥里",949,1245133,1312,733
10101,"苓雅區博仁里",242,319629,1321,632
10101,"苓雅區朝陽里",486,413272,850,617
10101,"苓雅區城北里",488,519696,1065,631
10101,"苓雅區城東里",734,711143,969,694
10101,"苓雅區城西里",165,105357,639,462
10101,"苓雅區福地里",808,569887,705,531
10101,"苓雅區福東里",826,589719,714,574
